,book_id,chap_id,term_str,n,tfidf
23570,6262,3,swung,1,0.004456593208814449
23571,6262,3,syllabus,1,0.011246390856779755
23572,6262,3,sympathetic,1,0.007576666086137553
23573,6262,3,sympathy,1,0.004077784259332933
23574,6262,3,t,112,0.728374124434985
23575,6262,3,table,15,0.02124030309156558
23576,6262,3,tails,1,0.006503340396740937
23577,6262,3,take,13,0.005304773352979494
23578,6262,3,taken,5,0.005557073953100493
23579,6262,3,taking,6,0.006326908241475182
23580,6262,3,talk,4,0.008288315720697001
23581,6262,3,talking,2,0.0030968102681934616
23582,6262,3,talks,1,0.005741803700816452
23583,6262,3,tall,1,0.0035951523220232183
23584,6262,3,taught,1,0.006503340396740937
23585,6262,3,teacher,1,0.0037464590379717925
23586,6262,3,team,1,0.007576666086137553
23587,6262,3,tear,1,0.004668478011419836
23588,6262,3,tedious,1,0.008338202782062038
23589,6262,3,tell,11,0.012225562696821082
23590,6262,3,ten,1,0.0025218266326266017
23591,6262,3,tended,1,0.008338202782062038
23592,6262,3,tenderly,1,0.008338202782062038
23593,6262,3,tends,1,0.008338202782062038
23594,6262,3,terms,1,0.003906941315495351
23595,6262,3,terrace,1,0.009411528471458654
23596,6262,3,than,14,0.005100255984126829
23597,6262,3,thank,4,0.012748371333329955
23598,6262,3,that,157,0.0059799888920866184
23599,6262,3,the,545,0.0
23600,6262,3,their,7,0.0022488200842323666
23601,6262,3,them,17,0.0033349696634508296
23602,6262,3,then,52,0.008099491145869124
23603,6262,3,there,51,0.010004908990352489
23604,6262,3,thereby,2,0.013006680793481874
23605,6262,3,therefore,2,0.0056672312521974695
23606,6262,3,these,9,0.0048945633486642635
23607,6262,3,they,26,0.005100541838218915
23608,6262,3,thick,1,0.004260418522729105
23609,6262,3,thickness,2,0.018823056942917308
23610,6262,3,thing,9,0.005745522441803232
23611,6262,3,things,5,0.003682225342951993
23612,6262,3,think,8,0.0043507229765904565
23613,6262,3,thinks,1,0.003187092833332489
23614,6262,3,third,1,0.0037464590379717925
23615,6262,3,this,47,0.005449742834675437
23616,6262,3,thorough,1,0.011246390856779755
23617,6262,3,thoroughfare,1,0.009411528471458654
23618,6262,3,thoroughness,1,0.011246390856779755
23619,6262,3,those,4,0.0025535655296903253
23620,6262,3,though,23,0.03407185909600898
23621,6262,3,thought,28,0.016539425058433296
23622,6262,3,thoughts,1,0.0028336156260987348
23623,6262,3,thrashing,1,0.00698597233405065
23624,6262,3,threat,1,0.005151109948729549
23625,6262,3,three,2,0.0030968102681934616
23626,6262,3,throat,2,0.009336956022839672
23627,6262,3,throbbings,1,0.011246390856779755
23628,6262,3,through,12,0.0023540962330241147
23629,6262,3,throughout,2,0.01086002941468864
23630,6262,3,throw,1,0.0030639475198305857
23631,6262,3,thrown,1,0.002621730823493348
23632,6262,3,thumped,1,0.008338202782062038
23633,6262,3,thus,1,0.0024255561374080044
23634,6262,3,ticket,1,0.009411528471458654
23635,6262,3,tickle,1,0.008338202782062038
23636,6262,3,tight,1,0.00543001470734432
23637,6262,3,till,3,0.012233352777998797
23638,6262,3,time,25,0.004904367152133573
23639,6262,3,times,2,0.0021089694138250606
23640,6262,3,timetable,1,0.009411528471458654
23641,6262,3,tiny,1,0.003452028446791525
23642,6262,3,tipped,2,0.018823056942917308
23643,6262,3,tiptoe,1,0.004668478011419836
23644,6262,3,tired,1,0.0011114147906200985
23645,6262,3,tiredness,2,0.015153332172275106
23646,6262,3,to,459,0.0
23647,6262,3,today,6,0.007374510807056908
23648,6262,3,together,6,0.003830348294535488
23649,6262,3,told,8,0.008435877655300243
23650,6262,3,tomorrow,4,0.0138081137871661
23651,6262,3,tone,3,0.008500846878296204
23652,6262,3,tones,1,0.005741803700816452
23653,6262,3,tongue,1,0.00543001470734432
23654,6262,3,tonight,6,0.041915834004303903
23655,6262,3,too,17,0.0076933567869965636
23656,6262,3,took,10,0.006383913824225813
23657,6262,3,top,3,0.0067287656220354946
23658,6262,3,torch,1,0.008338202782062038
23659,6262,3,torches,2,0.02249278171355951
23660,6262,3,touched,1,0.003906941315495351
23661,6262,3,touching,1,0.004898809905151687
23662,6262,3,toughened,1,0.011246390856779755
23663,6262,3,tour,1,0.008338202782062038
23664,6262,3,towards,11,0.019363189303723296
23665,6262,3,town,1,0.004456593208814449
23666,6262,3,train,4,0.015627765261981404
23667,6262,3,transgression,1,0.009411528471458654
23668,6262,3,treat,2,0.009797619810303373
23669,6262,3,treated,3,0.014005434034259507
23670,6262,3,treatment,1,0.004456593208814449
23671,6262,3,tree,1,0.009411528471458654
23672,6262,3,trees,2,0.011483607401632904
23673,6262,3,treetop,1,0.011246390856779755
23674,6262,3,tricky,1,0.011246390856779755
23675,6262,3,tried,3,0.0038698252967497354
23676,6262,3,tripped,1,0.009411528471458654
23677,6262,3,trot,1,0.009411528471458654
23678,6262,3,trouble,2,0.004312244794708593
23679,6262,3,trouser,4,0.02172005882937728
23680,6262,3,true,2,0.003823193305301383
23681,6262,3,trusted,1,0.00698597233405065
23682,6262,3,trusty,1,0.009411528471458654
23683,6262,3,try,7,0.008603595941566393
23684,6262,3,tug,1,0.008338202782062038
23685,6262,3,tuition,1,0.008338202782062038
23686,6262,3,tumbled,1,0.011246390856779755
23687,6262,3,tune,1,0.00698597233405065
23688,6262,3,tunes,2,0.018823056942917308
23689,6262,3,turn,2,0.0024581702690189694
23690,6262,3,turned,4,0.003562765704001774
23691,6262,3,turning,4,0.009702224549632018
23692,6262,3,twelve,5,0.03492986167025325
23693,6262,3,twenty,1,0.004456593208814449
23694,6262,3,twice,1,0.0033162475634084484
23695,6262,3,twist,1,0.007576666086137553
23696,6262,3,two,8,0.003620403193880736
23697,6262,3,umbrella,6,0.05002921669237222
23698,6262,3,unable,4,0.009702224549632018
23699,6262,3,unaccountably,1,0.011246390856779755
23700,6262,3,unambiguous,1,0.008338202782062038
23701,6262,3,unambiguously,1,0.008338202782062038
23702,6262,3,unbecoming,1,0.011246390856779755
23703,6262,3,unbuttoning,1,0.011246390856779755
23704,6262,3,uncle,52,0.26785771733393654
23705,6262,3,uncles,1,0.008338202782062038
23706,6262,3,unconcerned,1,0.009411528471458654
